GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTYA,CTY_SUBA,PLACEA,TRACTA,C_CITYA,AIANHHA,RES_ONLYA,TRUSTA,AIHHTLI,TRBL_SUBA,AITS,ANRCA,CBSAA,CSAA,METDIVA,MEMI,NECTAA,C_NECTAA,NECTADIVA,URB_AREAA,CDA,STLEG_UPA,STLEG_LOA,ZCTAA,SUBMCDA,SD_ELMA,SD_SECA,SD_UNIA,UR,PCI,PUMAA,GEOID,TRBL_CTA,NAME_E,AM0NE001,AM0NE002,AM0NE003,AM0NE004,AM0NE005,AM0NE006,AM0NE007,AM0NE008,AM0NE009,AM0NE010,AM0NE011,AM0NE012,AM0NE013,AM0NE014,AM0NE015,AM0NE016,AM0NE017,AM0NE018,AM0NE019,AM0NE020,AM0NE021,AM0NE022,AM0NE023,NAME_M,AM0NM001,AM0NM002,AM0NM003,AM0NM004,AM0NM005,AM0NM006,AM0NM007,AM0NM008,AM0NM009,AM0NM010,AM0NM011,AM0NM012,AM0NM013,AM0NM014,AM0NM015,AM0NM016,AM0NM017,AM0NM018,AM0NM019,AM0NM020,AM0NM021,AM0NM022,AM0NM023
"G010","2016-2020","AL",,,"Alabama","01",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"04000US01",,"Alabama",4893186,2365734,557635,551058,6577,1669,4908,1808099,1730833,77266,29641,47625,2527452,535277,527599,7678,2555,5123,1992175,1915643,76532,33063,43469,"Alabama",,1090,1007,1197,734,327,609,664,1965,1712,1281,1304,1089,947,1140,807,465,707,581,1858,1724,1375,1505
"G020","2016-2020","AK",,,"Alaska","02",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"04000US02",,"Alaska",736990,384653,94293,92409,1884,782,1102,290360,265813,24547,14504,10043,352337,89066,86707,2359,752,1607,263271,234719,28552,17517,11035,"Alaska",,448,322,437,332,242,243,373,1046,1041,835,834,448,286,534,430,257,293,344,1026,997,989,754
"G040","2016-2020","AZ",,,"Arizona","04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"04000US04",,"Arizona",7174064,3564979,836423,812999,23424,5328,18096,2728556,2299297,429259,188111,241148,3609085,803222,781009,22213,5979,16234,2805863,2333148,472715,229370,243345,"Arizona",,458,340,1673,1665,662,1460,333,5467,5436,3638,4570,458,321,1618,1508,702,1426,325,6047,6018,3766,5249
"G050","2016-2020","AR",,,"Arkansas","05",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"04000US05",,"Arkansas",3011873,1478511,359706,354332,5374,789,4585,1118805,1047361,71444,23459,47985,1533362,343126,338141,4985,1014,3971,1190236,1123897,66339,24762,41577,"Arkansas",,1045,902,1112,769,315,730,840,2270,2211,1429,1927,1043,853,1133,703,266,598,705,1717,1672,1102,1347
"G060","2016-2020","CA",,,"California","06",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"04000US06",,"California",39346023,19562882,4578696,4361520,217176,51516,165660,14984186,10161586,4822600,2488872,2333728,19783141,4377945,4176586,201359,51365,149994,15405196,10182513,5222683,2941940,2280743,"California",,1263,1123,4351,4165,2181,3773,725,18061,17862,10404,16002,1263,1112,3806,3816,2084,3359,572,19792,19727,13304,16341
"G080","2016-2020","CO",,,"Colorado","08",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"04000US08",,"Colorado",5684926,2862153,644006,626425,17581,4859,12722,2218147,1972016,246131,105080,141051,2822773,615025,596308,18717,6304,12413,2207748,1950663,257085,126217,130868,"Colorado",,1020,893,1471,1117,533,1011,903,3821,3565,2490,2956,1020,849,1074,882,590,958,733,3552,3554,2829,2937
"G090","2016-2020","CT",,,"Connecticut","09",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"04000US09",,"Connecticut",3570549,1741688,375735,360542,15193,3879,11314,1365953,1131834,234119,121911,112208,1828861,359849,344243,15606,4539,11067,1469012,1212546,256466,149524,106942,"Connecticut",,351,304,1167,1139,532,993,210,3853,3848,2586,2741,351,315,1066,1017,621,1001,178,3470,3471,3028,2613
"G100","2016-2020","DE",,,"Delaware","10",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"04000US10",,"Delaware",967679,467720,103400,100451,2949,947,2002,364320,323041,41279,20533,20746,499959,100807,97497,3310,1420,1890,399152,355557,43595,24028,19567,"Delaware",,160,158,470,480,258,467,39,1405,1400,1254,999,160,162,545,502,352,425,20,1379,1375,1319,882
"G110","2016-2020","DC",,,"District of Columbia","11",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"04000US11",,"District of Columbia",701974,333137,63701,61082,2619,667,1952,269436,227338,42098,18040,24058,368837,62347,60395,1952,557,1395,306490,258966,47524,23681,23843,"District of Columbia",,82,61,512,506,160,513,99,1498,1496,1104,1258,82,71,371,349,149,297,47,1976,1967,1519,1428
"G120","2016-2020","FL",,,"Florida","12",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"04000US12",,"Florida",21216924,10374594,2151795,2029122,122673,30064,92609,8222799,6264751,1958048,1094153,863895,10842330,2062649,1941343,121306,30560,90746,8779681,6571422,2208259,1366408,841851,"Florida",,1559,1375,3982,3673,1893,3504,1166,12442,12306,9473,11351,1559,1311,3555,3260,1825,2893,779,13185,13245,9813,11197
"G130","2016-2020","GA",,,"Georgia","13",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"04000US13",,"Georgia",10516579,5113936,1276423,1240353,36070,7067,29003,3837513,3337456,500057,222545,277512,5402643,1228891,1195205,33686,8793,24893,4173752,3675538,498214,246790,251424,"Georgia",,1996,1789,2944,2340,888,2173,1145,6149,5903,4304,4917,1999,1655,2814,2177,1013,1680,1077,6249,6254,4864,5221
"G150","2016-2020","HI",,,"Hawaii","15",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"04000US15",,"Hawaii",1420074,712250,155654,148198,7456,2151,5305,556596,454468,102128,61392,40736,707824,146593,139921,6672,2165,4507,561231,417815,143416,86842,56574,"Hawaii",,139,126,859,833,349,789,64,2576,2580,1644,1976,139,127,699,698,432,534,68,3049,3047,2438,1978
"G160","2016-2020","ID",,,"Idaho","16",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"04000US16",,"Idaho",1754367,879763,227953,224815,3138,714,2424,651810,604233,47577,19022,28555,874604,216645,213589,3056,1015,2041,657959,608709,49250,23447,25803,"Idaho",,828,696,679,494,217,508,536,1770,1714,1428,1143,828,683,834,380,246,342,449,1808,1758,1289,1347
"G170","2016-2020","IL",,,"Illinois","17",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"04000US17",,"Illinois",12716164,6247083,1457416,1419356,38060,11677,26383,4789667,3948201,841466,429484,411982,6469081,1398017,1357391,40626,13777,26849,5071064,4218149,852915,468562,384353,"Illinois",,1174,804,1935,1779,1048,1604,978,6328,6259,4493,5439,1174,867,2261,1938,1063,1652,759,6256,6249,4404,5851
"G180","2016-2020","IN",,,"Indiana","18",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"04000US18",,"Indiana",6696893,3300350,804435,789730,14705,3936,10769,2495915,2327152,168763,66352,102411,3396543,766578,752499,14079,4999,9080,2629965,2471674,158291,68327,89964,"Indiana",,1169,924,1360,992,506,985,868,3188,3119,2295,2559,1169,959,1449,1094,683,880,683,2847,3021,2209,2522
"G190","2016-2020","IA",,,"Iowa","19",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"04000US19",,"Iowa",3150011,1564436,371372,363827,7545,2084,5461,1193064,1112266,80798,32081,48717,1585575,357115,349869,7246,2085,5161,1228460,1153724,74736,33582,41154,"Iowa",,886,696,1030,864,312,734,771,1645,1747,1280,1741,889,749,1093,880,373,786,625,1519,1469,1172,1170
"G200","2016-2020","KS",,,"Kansas","20",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"04000US20",,"Kansas",2912619,1451919,361828,354336,7492,1956,5536,1090091,993335,96756,39329,57427,1460700,344144,337633,6511,2003,4508,1116556,1023286,93270,41102,52168,"Kansas",,981,726,993,707,353,594,709,2008,1881,1639,1504,982,807,1029,596,359,554,571,2269,2148,1442,1697
"G210","2016-2020","KY",,,"Kentucky","21",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"04000US21",,"Kentucky",4461952,2196522,516537,506812,9725,3171,6554,1679985,1597889,82096,32052,50044,2265430,491082,481465,9617,3278,6339,1774348,1699463,74885,32950,41935,"Kentucky",,1182,897,1174,782,463,664,932,2141,1985,1427,1719,1183,1071,1187,792,420,684,1009,1989,1795,1248,1483
"G220","2016-2020","LA",,,"Louisiana","22",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"04000US22",,"Louisiana",4664616,2276932,558575,549905,8670,1275,7395,1718357,1626500,91857,36175,55682,2387684,538984,530674,8310,1763,6547,1848700,1764496,84204,40698,43506,"Louisiana",,1257,979,1349,798,276,720,774,2127,2054,1436,2145,1259,957,1325,902,339,814,735,2162,2070,1484,1705
"G230","2016-2020","ME",,,"Maine","23",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"04000US23",,"Maine",1340825,656628,129162,127084,2078,724,1354,527466,507660,19806,10483,9323,684197,121805,119784,2021,890,1131,562392,538158,24234,14311,9923,"Maine",,454,359,423,352,250,312,319,979,967,748,764,453,345,421,291,230,232,312,1053,962,909,701
"G240","2016-2020","MD",,,"Maryland","24",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"04000US24",,"Maryland",6037624,2925644,683905,653126,30779,7184,23595,2241739,1832210,409529,217166,192363,3111980,656861,627255,29606,8119,21487,2455119,2008966,446153,254826,191327,"Maryland",,681,580,1743,1670,711,1548,419,4506,4526,3221,3641,681,578,1836,1669,869,1444,369,4244,4216,3351,3615
"G250","2016-2020","MA",,,"Massachusetts","25",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"04000US25",,"Massachusetts",6873003,3335992,695732,658901,36831,9750,27081,2640260,2120410,519850,277349,242501,3537011,666238,630646,35592,11654,23938,2870773,2304137,566636,329090,237546,"Massachusetts",,464,405,1621,1577,813,1458,367,5038,4960,3690,4149,464,357,1831,1861,948,1548,333,5445,5434,4596,4071
"G260","2016-2020","MI",,,"Michigan","26",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"04000US26",,"Michigan",9973907,4911965,1107246,1080369,26877,8360,18517,3804719,3488139,316580,168829,147751,5061942,1054517,1030969,23548,7777,15771,4007425,3687783,319642,184244,135398,"Michigan",,885,619,1464,1321,632,1139,603,3770,3769,2962,2872,886,638,1370,1107,588,994,620,4296,4322,3237,3119
"G270","2016-2020","MN",,,"Minnesota","27",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"04000US27",,"Minnesota",5600166,2789017,663773,641367,22406,9304,13102,2125244,1913942,211302,113281,98021,2811149,635511,613211,22300,9312,12988,2175638,1960959,214679,125270,89409,"Minnesota",,793,606,1490,1248,873,912,581,3112,3070,2577,2605,794,649,1487,1468,981,1098,544,2909,2840,2294,2517
"G280","2016-2020","MS",,,"Mississippi","28",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"04000US28",,"Mississippi",2981835,1443708,360525,357715,2810,603,2207,1083183,1050021,33162,12969,20193,1538127,346696,343976,2720,1209,1511,1191431,1160912,30519,14231,16288,"Mississippi",,1654,1376,1500,501,194,458,880,1474,1295,924,1282,1654,1400,1299,416,297,352,798,1365,1294,1009,1036
"G290","2016-2020","MO",,,"Missouri","29",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"04000US29",,"Missouri",6124160,3004001,706199,695591,10608,3822,6786,2297802,2183399,114403,56104,58299,3120159,673224,662639,10585,4537,6048,2446935,2326195,120740,64417,56323,"Missouri",,1341,966,1482,1095,693,738,957,2496,2323,1813,2009,1342,990,1279,921,653,654,955,2661,2612,1863,2037
"G300","2016-2020","MT",,,"Montana","30",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"04000US30",,"Montana",1061705,534128,117530,116792,738,445,293,416598,407462,9136,4762,4374,527577,111059,110382,677,389,288,416518,403748,12770,7825,4945,"Montana",,667,509,519,239,201,125,465,848,712,504,507,667,521,533,177,131,125,433,947,939,722,592
"G310","2016-2020","NE",,,"Nebraska","31",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"04000US31",,"Nebraska",1923826,959677,244003,236022,7981,1991,5990,715674,648943,66731,26477,40254,964149,231100,224215,6885,1538,5347,733049,672030,61019,26111,34908,"Nebraska",,778,586,994,697,403,663,626,1525,1538,1245,1360,778,545,885,741,289,707,555,1483,1452,953,1340
"G320","2016-2020","NV",,,"Nevada","32",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"04000US32",,"Nevada",3030281,1520196,351271,338819,12452,3358,9094,1168925,903029,265896,132181,133715,1510085,336242,324389,11853,2762,9091,1173843,876236,297607,159826,137781,"Nevada",,595,627,1124,985,524,783,400,3295,3224,2678,2857,595,526,1154,987,454,839,300,3653,3652,3021,3262
"G330","2016-2020","NH",,,"New Hampshire","33",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"04000US33",,"New Hampshire",1355244,671802,132027,129302,2725,665,2060,539775,502261,37514,20850,16664,683442,125704,122863,2841,1515,1326,557738,518196,39542,23992,15550,"New Hampshire",,432,355,519,421,172,410,324,1297,1288,1155,922,432,351,590,465,351,314,274,1334,1360,1134,1066
"G340","2016-2020","NJ",,,"New Jersey","34",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"04000US34",,"New Jersey",8885418,4341123,997362,940562,56800,14768,42032,3343761,2425187,918574,529148,389426,4544295,956091,899857,56234,14744,41490,3588204,2606940,981264,595105,386159,"New Jersey",,523,465,1958,1857,1160,1650,406,6896,6939,5279,6101,523,430,1962,1981,1068,1788,313,6884,6841,5651,5703
"G350","2016-2020","NM",,,"New Mexico","35",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"04000US35",,"New Mexico",2097021,1038007,246706,242040,4666,868,3798,791301,702853,88448,35609,52839,1059014,236748,231503,5245,1041,4204,822266,727402,94864,45542,49322,"New Mexico",,665,534,780,676,299,562,483,2277,2267,1539,1987,665,641,948,678,319,559,485,2788,2700,2164,1964
"G360","2016-2020","NY",,,"New York","36",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"04000US36",,"New York",19514849,9474184,2081374,1974027,107347,33547,73800,7392810,5441093,1951717,1111801,839916,10040665,1989768,1888286,101482,33550,67932,8050897,5839276,2211621,1372571,839050,"New York",,1036,859,3339,3084,1541,2551,856,9544,9332,7278,8090,1036,835,2867,2877,1702,2580,735,11571,11580,9006,8095
"G370","2016-2020","NC",,,"North Carolina","37",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"04000US37",,"North Carolina",10386227,5052667,1173962,1142496,31466,6782,24684,3878705,3492882,385823,151875,233948,5333560,1127634,1097257,30377,8493,21884,4205926,3820990,384936,170749,214187,"North Carolina",,1415,1331,2331,1790,720,1675,837,4514,4384,3092,3777,1416,1301,2105,1685,870,1469,811,4921,5018,3096,4088
"G380","2016-2020","ND",,,"North Dakota","38",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"04000US38",,"North Dakota",760394,389284,91339,90080,1259,434,825,297945,282744,15201,6205,8996,371110,86690,84795,1895,755,1140,284420,270386,14034,5607,8427,"North Dakota",,655,511,575,255,153,236,453,823,775,641,767,655,514,602,372,315,327,399,840,736,566,698
"G390","2016-2020","OH",,,"Ohio","39",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"04000US39",,"Ohio",11675275,5721796,1326769,1304776,21993,6414,15579,4395027,4147846,247181,128553,118628,5953479,1267219,1245183,22036,8298,13738,4686260,4434766,251494,144125,107369,"Ohio",,1248,1074,1791,1637,703,1417,862,3572,3558,2772,2875,1248,1075,1670,1231,744,1104,742,4065,3931,2952,2918
"G400","2016-2020","OK",,,"Oklahoma","40",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"04000US40",,"Oklahoma",3949342,1956617,488614,481417,7197,1664,5533,1468003,1352366,115637,41915,73722,1992725,467756,460244,7512,1701,5811,1524969,1417503,107466,44017,63449,"Oklahoma",,692,590,817,649,343,601,637,2076,2099,1223,2103,694,616,923,688,287,615,477,2407,2294,1496,1946
"G410","2016-2020","OR",,,"Oregon","41",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"04000US41",,"Oregon",4176346,2070627,444697,432781,11916,3234,8682,1625930,1437580,188350,84522,103828,2105719,422379,411691,10688,3128,7560,1683340,1484427,198913,101501,97412,"Oregon",,960,795,1496,1223,566,1076,529,3288,3293,2426,2649,960,802,1146,1011,524,893,508,3440,3430,2553,2772
"G420","2016-2020","PA",,,"Pennsylvania","42",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"04000US42",,"Pennsylvania",12794885,6269142,1356222,1323288,32934,9493,23441,4912920,4507042,405878,216879,188999,6525743,1293360,1260828,32532,11466,21066,5232383,4806874,425509,248162,177347,"Pennsylvania",,824,587,2075,1975,958,1561,663,4841,4802,3499,4035,824,625,1781,1650,994,1398,585,4754,4649,3824,3393
"G440","2016-2020","RI",,,"Rhode Island","44",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"04000US44",,"Rhode Island",1057798,514524,105182,100000,5182,1285,3897,409342,341106,68236,38413,29823,543274,100262,95995,4267,1214,3053,443012,372392,70620,43111,27509,"Rhode Island",,353,333,837,714,399,572,227,2155,2128,1728,1716,353,326,660,601,274,493,216,1928,1922,1709,1313
"G450","2016-2020","SC",,,"South Carolina","45",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"04000US45",,"South Carolina",5091517,2468682,565848,555054,10794,2466,8328,1902834,1780586,122248,50953,71295,2622835,542757,532911,9846,2550,7296,2080078,1959763,120315,58378,61937,"South Carolina",,1216,1012,1702,1046,550,952,728,2506,2393,1721,2181,1216,1053,1297,1033,470,893,586,2666,2703,2357,2011
"G460","2016-2020","SD",,,"South Dakota","46",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"04000US46",,"South Dakota",879336,442948,109997,107759,2238,754,1484,332951,316712,16239,5682,10557,436388,105750,103470,2280,762,1518,330638,316484,14154,5989,8165,"South Dakota",,748,630,778,439,266,383,518,1049,974,567,850,749,608,688,489,259,499,482,826,819,604,699
"G470","2016-2020","TN",,,"Tennessee","47",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"04000US47",,"Tennessee",6772268,3304462,771024,754126,16898,4261,12637,2533438,2374197,159241,61224,98017,3467806,736866,719545,17321,5272,12049,2730940,2577014,153926,69805,84121,"Tennessee",,1721,1193,1557,1160,645,1022,1222,3134,3255,1984,2593,1721,1188,2001,1573,664,1333,1171,3059,2992,2317,2559
"G480","2016-2020","TX",,,"Texas","48",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"04000US48",,"Texas",28635442,14221720,3764839,3603503,161336,26996,134340,10456881,8208850,2248031,871275,1376756,14413722,3616643,3463668,152975,27076,125899,10797079,8536469,2260610,962237,1298373,"Texas",,2292,1829,4843,4717,1676,4728,1236,14341,14132,8355,13177,2292,1811,5222,4859,1865,4626,1264,12978,12991,8022,11603
"G490","2016-2020","UT",,,"Utah","49",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"04000US49",,"Utah",3151239,1586950,476348,467055,9293,1695,7598,1110602,990774,119828,49269,70559,1564289,451221,442565,8656,2196,6460,1113068,986307,126761,56543,70218,"Utah",,587,504,971,807,318,751,556,2548,2538,1765,2327,587,429,977,964,413,805,514,2381,2403,1847,1973
"G500","2016-2020","VT",,,"Vermont","50",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"04000US50",,"Vermont",624340,308441,59816,58674,1142,402,740,248625,236779,11846,6309,5537,315899,55816,54807,1009,401,608,260083,245612,14471,8691,5780,"Vermont",,331,318,406,273,158,206,306,750,737,672,515,330,288,294,202,109,177,250,843,794,708,435
"G510","2016-2020","VA",,,"Virginia","51",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"04000US51",,"Virginia",8509358,4186543,955310,916413,38897,9992,28905,3231233,2755985,475248,257101,218147,4322815,913287,879715,33572,9282,24290,3409528,2888756,520772,296698,224074,"Virginia",,1645,1511,2338,1992,840,1751,1185,5289,5391,3558,4790,1644,1505,2298,1536,755,1458,994,5033,4781,3710,4447
"G530","2016-2020","WA",,,"Washington","53",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"04000US53",,"Washington",7512465,3759007,845478,810895,34583,7952,26631,2913529,2420430,493099,230399,262700,3753458,807991,773485,34506,8431,26075,2945467,2417995,527472,275821,251651,"Washington",,731,638,1612,1570,760,1498,595,4866,4900,3254,4178,731,661,1842,1730,795,1614,552,4399,4384,3659,3763
"G540","2016-2020","WV",,,"West Virginia","54",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"04000US54",,"West Virginia",1807426,893743,186990,186255,735,231,504,706753,693283,13470,6306,7164,913683,178227,177545,682,274,408,735456,720759,14697,8177,6520,"West Virginia",,742,582,642,207,86,195,714,1185,879,593,635,742,592,582,248,120,220,674,981,909,668,674
"G550","2016-2020","WI",,,"Wisconsin","55",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"04000US55",,"Wisconsin",5806975,2889783,652668,641145,11523,4228,7295,2237115,2100460,136655,61369,75286,2917192,621653,611005,10648,4428,6220,2295539,2163178,132361,67483,64878,"Wisconsin",,904,650,1086,969,651,743,531,2057,2001,1667,1968,904,631,1008,759,521,598,511,1947,1997,1905,1687
"G560","2016-2020","WY",,,"Wyoming","56",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"04000US56",,"Wyoming",581348,296280,69253,68804,449,161,288,227027,218159,8868,3452,5416,285068,65547,65017,530,270,260,219521,210094,9427,3652,5775,"Wyoming",,695,406,436,175,125,132,607,926,667,519,546,695,446,468,194,144,102,528,751,716,437,567
"G720","2016-2020","PR",,,"Puerto Rico","72",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"04000US72",,"Puerto Rico",3255642,1546590,311650,309898,1752,405,1347,1234940,1197708,37232,18463,18769,1709052,299510,297598,1912,386,1526,1409542,1362052,47490,24836,22654,"Puerto Rico",,546,544,601,360,159,341,,1406,1405,795,1197,546,544,634,354,131,310,,1385,1384,1001,1163
