state_name,state_abb,n
Alabama,AL,4893186
Alaska,AK,736990
Arizona,AZ,7174064
Arkansas,AR,3011873
California,CA,39346023
Colorado,CO,5684926
Connecticut,CT,3570549
Delaware,DE,967679
District of Columbia,DC,701974
Florida,FL,21216924
Georgia,GA,10516579
Hawaii,HI,1420074
Idaho,ID,1754367
Illinois,IL,12716164
Indiana,IN,6696893
Iowa,IA,3150011
Kansas,KS,2912619
Kentucky,KY,4461952
Louisiana,LA,4664616
Maine,ME,1340825
Maryland,MD,6037624
Massachusetts,MA,6873003
Michigan,MI,9973907
Minnesota,MN,5600166
Mississippi,MS,2981835
Missouri,MO,6124160
Montana,MT,1061705
Nebraska,NE,1923826
Nevada,NV,3030281
New Hampshire,NH,1355244
New Jersey,NJ,8885418
New Mexico,NM,2097021
New York,NY,19514849
North Carolina,NC,10386227
North Dakota,ND,760394
Ohio,OH,11675275
Oklahoma,OK,3949342
Oregon,OR,4176346
Pennsylvania,PA,12794885
Rhode Island,RI,1057798
South Carolina,SC,5091517
South Dakota,SD,879336
Tennessee,TN,6772268
Texas,TX,28635442
Utah,UT,3151239
Vermont,VT,624340
Virginia,VA,8509358
Washington,WA,7512465
West Virginia,WV,1807426
Wisconsin,WI,5806975
Wyoming,WY,581348
Puerto Rico,PR,3255642
